Make,Model,Year,MSRP,Body Size,Body Style,Cylinders,Engine Aspiration,Drivetrain,Transmission,Horsepower,Torque
Audi,S6,2024,79800.0,Large,Sedan,V6,Twincharged,AWD,automatic,444.0,442.0
Audi,S6,2024,83700.0,Large,Sedan,V6,Twincharged,AWD,automatic,444.0,442.0
Audi,S7,2024,85300.0,Large,Sedan,V6,Twincharged,AWD,automatic,444.0,442.0
Audi,S7,2024,89100.0,Large,Sedan,V6,Twincharged,AWD,automatic,444.0,442.0
Audi,S7,2024,92700.0,Large,Sedan,V6,Twincharged,AWD,automatic,444.0,442.0
Audi,S8,2024,123400.0,Large,Sedan,V8,Twin-Turbo,AWD,automatic,563.0,590.0
Audi,SQ5,2024,57700.0,Midsize,SUV,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,SQ5,2024,61700.0,Midsize,SUV,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,SQ5,2024,66800.0,Midsize,SUV,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,SQ5 Sportback,2024,61100.0,Midsize,SUV,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,SQ5 Sportback,2024,64100.0,Midsize,SUV,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,SQ5 Sportback,2024,69200.0,Midsize,SUV,V6,Turbocharged,AWD,automatic,349.0,369.0
Audi,SQ7,2024,90400.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,500.0,568.0
Audi,SQ7,2024,94900.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,500.0,568.0
Audi,SQ8,2024,96600.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,500.0,568.0
Audi,SQ8,2024,103600.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,500.0,568.0
Audi,SQ8 Sportback e-tron,2024,92600.0,Midsize,SUV,,Electric Motor,AWD,automatic,496.0,718.0
Audi,SQ8 Sportback e-tron,2024,98600.0,Midsize,SUV,,Electric Motor,AWD,automatic,496.0,718.0
Audi,SQ8 e-tron,2024,89800.0,Midsize,SUV,,Electric Motor,AWD,automatic,496.0,718.0
Audi,SQ8 e-tron,2024,95800.0,Midsize,SUV,,Electric Motor,AWD,automatic,496.0,718.0
Audi,e-tron GT,2024,106500.0,Large,Sedan,,Electric Motor,AWD,automatic,522.0,472.0
Audi,e-tron GT,2024,114500.0,Large,Sedan,,Electric Motor,AWD,automatic,522.0,472.0
BMW,2 Series,2024,38800.0,Compact,Coupe,I4,Turbocharged,RWD,automatic,255.0,295.0
BMW,2 Series,2024,40800.0,Compact,Coupe,I4,Turbocharged,AWD,automatic,255.0,295.0
BMW,2 Series,2024,49700.0,Compact,Coupe,I6,Turbocharged,RWD,automatic,382.0,369.0
BMW,2 Series,2024,51700.0,Compact,Coupe,I6,Turbocharged,AWD,automatic,382.0,369.0
BMW,2 Series Gran Coupe,2024,38400.0,Compact,Sedan,I4,Turbocharged,FWD,automatic,228.0,258.0
BMW,2 Series Gran Coupe,2024,40400.0,Compact,Sedan,I4,Turbocharged,AWD,automatic,228.0,258.0
BMW,2 Series Gran Coupe,2024,48300.0,Compact,Sedan,I4,Turbocharged,AWD,automatic,302.0,332.0
BMW,3 Series,2024,45600.0,Midsize,Sedan,I4,Turbocharged,RWD,automatic,288.0,310.0
BMW,3 Series,2024,47600.0,Midsize,Sedan,I4,Turbocharged,AWD,automatic,288.0,310.0
BMW,3 Series,2024,44500.0,Midsize,Sedan,I4,Turbocharged,RWD,automatic,255.0,295.0
BMW,3 Series,2024,46500.0,Midsize,Sedan,I4,Turbocharged,AWD,automatic,255.0,295.0
BMW,3 Series,2024,57600.0,Midsize,Sedan,I6,Turbocharged,RWD,automatic,382.0,369.0
BMW,3 Series,2024,59600.0,Midsize,Sedan,I6,Turbocharged,AWD,automatic,382.0,369.0
BMW,4 Series,2024,49900.0,Midsize,Coupe,I4,Turbocharged,RWD,automatic,255.0,295.0
BMW,4 Series,2024,58100.0,Midsize,Convertible,I4,Turbocharged,RWD,automatic,255.0,295.0
BMW,4 Series,2024,51900.0,Midsize,Coupe,I4,Turbocharged,AWD,automatic,255.0,295.0
BMW,4 Series,2024,60100.0,Midsize,Convertible,I4,Turbocharged,AWD,automatic,255.0,295.0
BMW,4 Series,2024,61450.0,Midsize,Coupe,I6,Turbocharged,RWD,automatic,382.0,369.0
BMW,4 Series,2024,69550.0,Midsize,Convertible,I6,Turbocharged,RWD,automatic,382.0,369.0
BMW,4 Series,2024,63450.0,Midsize,Coupe,I6,Turbocharged,AWD,automatic,382.0,369.0
BMW,4 Series,2024,71550.0,Midsize,Convertible,I6,Turbocharged,AWD,automatic,382.0,369.0
BMW,4 Series Gran Coupe,2024,48300.0,Midsize,Sedan,I4,Turbocharged,RWD,automatic,255.0,295.0
BMW,4 Series Gran Coupe,2024,50300.0,Midsize,Sedan,I4,Turbocharged,AWD,automatic,255.0,295.0
BMW,4 Series Gran Coupe,2024,61050.0,Midsize,Sedan,I6,Turbocharged,RWD,automatic,382.0,369.0
BMW,4 Series Gran Coupe,2024,63050.0,Midsize,Sedan,I6,Turbocharged,AWD,automatic,382.0,369.0
BMW,5 Series,2024,57900.0,Large,Sedan,I4,Turbocharged,RWD,automatic,255.0,295.0
BMW,5 Series,2024,60200.0,Large,Sedan,I4,Turbocharged,AWD,automatic,255.0,295.0
BMW,5 Series,2024,64900.0,Large,Sedan,I6,Turbocharged,AWD,automatic,375.0,
BMW,7 Series,2024,96400.0,Large,Sedan,I6,Turbocharged,RWD,automatic,375.0,398.0
BMW,7 Series,2024,99400.0,Large,Sedan,I6,Turbocharged,AWD,automatic,375.0,398.0
BMW,7 Series,2024,107000.0,Large,Sedan,I6,Turbocharged,AWD,automatic,483.0,479.0
BMW,7 Series,2024,121300.0,Large,Sedan,V8,Twin-Turbo,AWD,automatic,536.0,553.0
BMW,8 Series,2024,90800.0,Midsize,Coupe,I6,Turbocharged,RWD,automatic,335.0,369.0
BMW,8 Series,2024,100500.0,Midsize,Convertible,I6,Turbocharged,RWD,automatic,335.0,369.0
BMW,8 Series,2024,103500.0,Midsize,Convertible,I6,Turbocharged,AWD,automatic,335.0,369.0
BMW,8 Series,2024,93800.0,Midsize,Coupe,I6,Turbocharged,AWD,automatic,335.0,369.0
BMW,8 Series,2024,116000.0,Midsize,Convertible,V8,Twin-Turbo,AWD,automatic,523.0,553.0
BMW,8 Series,2024,106300.0,Midsize,Coupe,V8,Twin-Turbo,AWD,automatic,523.0,553.0
BMW,8 Series Gran Coupe,2024,90800.0,Large,Sedan,I6,Turbocharged,RWD,automatic,335.0,369.0
BMW,8 Series Gran Coupe,2024,93800.0,Large,Sedan,I6,Turbocharged,AWD,automatic,335.0,369.0
BMW,8 Series Gran Coupe,2024,106300.0,Large,Sedan,V8,Twin-Turbo,AWD,automatic,523.0,553.0
BMW,ALPINA B8 Gran Coupe,2024,149300.0,Large,Sedan,V8,Twin-Turbo,AWD,automatic,612.0,590.0
BMW,ALPINA XB7,2024,149400.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,630.0,590.0
BMW,M2,2024,63200.0,Compact,Coupe,I6,Twin-Turbo,RWD,manual,453.0,406.0
BMW,M3,2024,76000.0,Midsize,Sedan,I6,Twin-Turbo,RWD,manual,473.0,406.0
BMW,M3,2024,80200.0,Midsize,Sedan,I6,Twin-Turbo,RWD,automatic,503.0,479.0
BMW,M3,2024,84300.0,Midsize,Sedan,I6,Twin-Turbo,AWD,automatic,503.0,479.0
BMW,M3 CS,2024,118700.0,Midsize,Sedan,I6,Twin-Turbo,AWD,automatic,543.0,479.0
BMW,M4,2024,78100.0,Midsize,Coupe,I6,Twin-Turbo,RWD,manual,473.0,406.0
BMW,M4,2024,82200.0,Midsize,Coupe,I6,Twin-Turbo,RWD,automatic,503.0,479.0
BMW,M4,2024,86300.0,Midsize,Coupe,I6,Twin-Turbo,AWD,automatic,503.0,479.0
BMW,M4,2024,93300.0,Midsize,Convertible,I6,Twin-Turbo,AWD,automatic,503.0,479.0
BMW,M8,2024,138800.0,Midsize,Coupe,V8,Twin-Turbo,AWD,automatic,617.0,553.0
BMW,M8,2024,148800.0,Midsize,Convertible,V8,Twin-Turbo,AWD,automatic,617.0,553.0
BMW,M8 Gran Coupe,2024,138800.0,Large,Sedan,V8,Twin-Turbo,AWD,automatic,617.0,553.0
BMW,X1,2024,49900.0,Compact,SUV,I4,Turbocharged,AWD,automatic,312.0,295.0
BMW,X1,2024,40500.0,Compact,SUV,I4,Turbocharged,AWD,automatic,241.0,295.0
BMW,X2,2024,51400.0,Compact,SUV,I4,Turbocharged,AWD,automatic,312.0,295.0
BMW,X2,2024,42000.0,Compact,SUV,I4,Turbocharged,AWD,automatic,241.0,295.0
BMW,X3,2024,61900.0,Midsize,SUV,I6,Turbocharged,AWD,automatic,382.0,369.0
BMW,X3,2024,46900.0,Midsize,SUV,I4,Turbocharged,RWD,automatic,248.0,258.0
BMW,X3,2024,48900.0,Midsize,SUV,I4,Turbocharged,AWD,automatic,248.0,258.0
BMW,X3 M,2024,75500.0,Midsize,SUV,I6,Twin-Turbo,AWD,automatic,473.0,457.0
BMW,X4,2024,66400.0,Midsize,SUV,I6,Turbocharged,AWD,automatic,382.0,369.0
BMW,X4,2024,55000.0,Midsize,SUV,I4,Turbocharged,AWD,automatic,248.0,258.0
BMW,X4 M,2024,79100.0,Midsize,SUV,I6,Twin-Turbo,AWD,automatic,473.0,457.0
BMW,X5,2024,89300.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,523.0,553.0
BMW,X5,2024,65200.0,Large,SUV,I6,Turbocharged,RWD,automatic,375.0,398.0
BMW,X5,2024,67500.0,Large,SUV,I6,Turbocharged,AWD,automatic,375.0,398.0
BMW,X5,2024,72500.0,Large,SUV,I6,Turbocharged,AWD,automatic,483.0,516.0
BMW,X5 M,2024,122300.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,617.0,553.0
BMW,X6,2024,93600.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,523.0,553.0
BMW,X6,2024,73900.0,Large,SUV,I6,Turbocharged,AWD,automatic,375.0,398.0
BMW,X6 M,2024,127200.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,617.0,553.0
BMW,X7,2024,108700.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,523.0,553.0
BMW,X7,2024,81900.0,Large,SUV,I6,Turbocharged,AWD,automatic,375.0,398.0
BMW,XM,2024,159000.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,644.0,590.0
BMW,XM,2024,185000.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,738.0,738.0
BMW,Z4,2024,66300.0,Compact,Convertible,I6,Turbocharged,RWD,automatic,382.0,369.0
BMW,Z4,2024,53600.0,Compact,Convertible,I4,Turbocharged,RWD,automatic,255.0,295.0
BMW,i4,2024,69700.0,Midsize,Sedan,,Electric Motor,AWD,automatic,536.0,586.0
BMW,i4,2024,52200.0,Midsize,Sedan,,Electric Motor,RWD,automatic,282.0,295.0
BMW,i4,2024,57300.0,Midsize,Sedan,,Electric Motor,RWD,automatic,335.0,317.0
BMW,i4,2024,61600.0,Midsize,Sedan,,Electric Motor,AWD,automatic,396.0,443.0
BMW,i5,2024,84100.0,Large,Sedan,,Electric Motor,AWD,automatic,590.0,586.0
BMW,i5,2024,66800.0,Large,Sedan,,Electric Motor,RWD,automatic,335.0,295.0
BMW,i7,2024,168500.0,Large,Sedan,,Electric Motor,AWD,automatic,650.0,811.0
BMW,i7,2024,105700.0,Large,Sedan,,Electric Motor,RWD,automatic,449.0,479.0
BMW,i7,2024,124200.0,Large,Sedan,,Electric Motor,AWD,automatic,536.0,549.0
BMW,iX,2024,111500.0,Large,SUV,,Electric Motor,AWD,automatic,610.0,749.0
BMW,iX,2024,87100.0,Large,SUV,,Electric Motor,AWD,automatic,516.0,564.0
Bentley,Bentayga,2024,215300.0,Large,SUV,V6,Turbocharged,AWD,automatic,456.0,516.0
Bentley,Bentayga,2024,215300.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Bentayga,2024,238200.0,Large,SUV,V6,Turbocharged,AWD,automatic,456.0,516.0
Bentley,Bentayga,2024,246400.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Bentayga,2024,203200.0,Large,SUV,V6,Turbocharged,AWD,automatic,456.0,516.0
Bentley,Bentayga,2024,232300.0,Large,SUV,V6,Turbocharged,AWD,automatic,456.0,516.0
Bentley,Bentayga,2024,240300.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Bentayga,2024,203200.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Bentayga EWB,2024,242100.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Bentayga EWB,2024,271400.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Bentayga EWB,2024,336000.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Bentayga EWB,2024,233700.0,Large,SUV,V8,Twin-Turbo,AWD,automatic,542.0,568.0
Bentley,Continental,2024,259300.0,Midsize,Coupe,V8,Twin-Turbo,AWD,automatic,542.0,568.0
